FullName NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
93 CatherineMurphy 838.866418118895 838.866418118895 838.866418118895 838.866418118895 838.866418118895 1023.96761792832 1023.96761792832 1023.96761792832 1023.96761792832 1023.96761792832 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
94 CeridwenJones 675.640814650581 675.640814650581 675.640814650581 675.640814650581 675.640814650581 860.742014460008 860.742014460008 860.742014460008 860.742014460008 860.742014460008 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
95 CharlottedeL'Isle 772.60860227802 772.60860227802 772.60860227802 772.60860227802 772.60860227802 957.709802087447 957.709802087447 957.709802087447 957.709802087447 957.709802087447 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
96 ChrisBeckman 889.769248066487 889.769248066487 889.769248066487 889.769248066487 889.769248066487 1074.87044787592 1074.87044787592 1074.87044787592 1074.87044787592 1074.87044787592 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
97 ChrisForne 1245.2476886096 1245.2476886096 1245.2476886096 1245.2476886096 1245.2476886096 1430.34888841901 1430.34888841901 1430.34888841901 1430.34888841901 1430.34888841901 NA 1434.6609050055 NA NA 1428.87649251144 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
98 ChrisGelderman 755.781220477162 755.781220477162 755.781220477162 755.781220477162 755.781220477162 940.882420286591 940.882420286591 940.882420286591 940.882420286591 940.882420286591 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
99 ChrissieWilliams 514.939318452395 514.939318452395 514.939318452395 514.939318452395 514.939318452395 700.040518261823 700.040518261823 700.040518261823 700.040518261823 700.040518261823 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
100 ChristianWehrli NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1208.59779690199 1167.85528586034 NA NA 1192.36095743134
101 ChristineBrowne 928.261883935947 928.261883935947 928.261883935947 928.261883935947 928.261883935947 1113.36308374537 1113.36308374537 1113.36308374537 1113.36308374537 1113.36308374537 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
102 ChristineRowe 852.53866583209 852.53866583209 852.53866583209 852.53866583209 852.53866583209 1037.63986564151 1037.63986564151 1037.63986564151 1037.63986564151 1037.63986564151 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
103 CioranKnowles 912.065528952622 912.065528952622 912.065528952622 912.065528952622 912.065528952622 1097.16672876206 1097.16672876206 1097.16672876206 1097.16672876206 1097.16672876206 NA NA NA NA NA NA 1217.06182409315 NA NA NA NA NA NA NA NA NA NA NA NA NA
104 ClaireHeppenstall 765.036280467632 765.036280467632 765.036280467632 765.036280467632 765.036280467632 950.137480277062 950.137480277062 950.137480277062 950.137480277062 950.137480277062 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
105 ClaudiaLayton 811.942607237522 811.942607237522 811.942607237522 811.942607237522 811.942607237522 997.043807046943 997.043807046943 997.043807046943 997.043807046943 997.043807046943 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
106 ClemenceRolin 842.442236751575 842.442236751575 842.442236751575 842.442236751575 842.442236751575 1027.543436561 1027.543436561 1027.543436561 1027.543436561 1027.543436561 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
107 ClemRolin NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1115.25616419797 NA NA NA NA NA NA NA NA NA
108 CliveBolt 701.72325644191 701.72325644191 701.72325644191 701.72325644191 701.72325644191 886.824456251336 886.824456251336 886.824456251336 886.824456251336 886.824456251336 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
109 ConnorCleary 1124.30088191594 1124.30088191594 1124.30088191594 1124.30088191594 1124.30088191594 1309.40208172536 1309.40208172536 1309.40208172536 1309.40208172536 1309.40208172536 NA NA NA NA NA NA NA NA 1247.98213815223 NA NA NA NA NA NA NA NA NA NA NA
110 CraigDufty NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1298.39967679786 1227.34210259966 NA NA 1212.32509938476
111 CraigPelvin 1029.2261747411 1029.2261747411 1029.2261747411 1029.2261747411 1029.2261747411 1214.3273745505 1214.3273745505 1214.3273745505 1214.3273745505 1214.3273745505 NA 1273.85423767104 NA NA NA 1285.73857606791 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
112 CrynRussell 778.918870453341 778.918870453341 778.918870453341 778.918870453341 778.918870453341 964.020070262769 964.020070262769 964.020070262769 964.020070262769 964.020070262769 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
113 DaleMcDonald 350.241319076509 350.241319076509 350.241319076509 350.241319076509 350.241319076509 535.342518885936 535.342518885936 535.342518885936 535.342518885936 535.342518885936 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
114 DamienEnderby NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1037.49465068656 1010.97698543011 NA
115 DanielGray NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1126.95057201909 1218.78646905847 NA NA NA
116 DanielleGoodall 1082.6531119588 1082.6531119588 1082.6531119588 1082.6531119588 1082.6531119588 1267.75431176823 1267.75431176823 1267.75431176823 1267.75431176823 1267.75431176823 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
